"","ppt_no","PC","HR","FA","AS","RT","CR","dur","age","cond"
"179",35,0.806,0.667,0.056,6.03,1925.36,0.611,"2500ms","Younger","Shape"
"180",36,0.889,0.944,0.167,6.61,1299.89,0.777,"2500ms","Older","Shape"
"181",37,0.889,1,0.222,7.44,1949.5,0.778,"2500ms","Older","Shape"
"182",38,0.944,0.944,0.056,8.64,1448.56,0.888,"2500ms","Older","Shape"
"183",39,0.889,0.833,0.056,6.64,1803.92,0.777,"2500ms","Older","Shape"
"184",40,0.669,0.668,0.334,3.69,1290.67,0.334,"2500ms","Older","Shape"
"185",41,0.833,0.944,0.278,5.03,1572.33,0.666,"2500ms","Older","Shape"
"186",42,0.917,0.889,0.056,9.69,1575.28,0.833,"2500ms","Older","Shape"
"187",43,0.833,0.944,0.278,5.64,1417.86,0.666,"2500ms","Older","Shape"
"188",44,0.694,0.778,0.389,6.86,1476.17,0.389,"2500ms","Older","Shape"
"189",45,0.889,0.889,0.111,8.94,1485.47,0.778,"2500ms","Older","Shape"
"190",46,0.861,0.889,0.167,5.94,1479.44,0.722,"2500ms","Older","Shape"
"191",47,0.861,0.944,0.222,6.22,1003.53,0.722,"2500ms","Older","Shape"
"192",48,0.917,0.889,0.056,8.31,1203.92,0.833,"2500ms","Older","Shape"
"193",1,1,1,0,7.94,1693.19,1,"2500ms","Older","Colour"
"194",2,0.972,1,0.056,6.81,796.56,0.944,"2500ms","Younger","Colour"
"195",3,1,1,0,10.28,604.22,1,"2500ms","Younger","Colour"
"196",4,0.972,0.944,0,10.42,1053.69,0.944,"2500ms","Younger","Colour"
"197",5,0.889,1,0.222,9.92,1257.78,0.778,"2500ms","Older","Colour"
"198",6,0.861,1,0.278,4.47,1252.72,0.722,"2500ms","Older","Colour"
"199",7,0.972,0.944,0,5.97,970.42,0.944,"2500ms","Older","Colour"
"200",8,1,1,0,6.83,803.14,1,"2500ms","Younger","Colour"
"201",9,0.972,0.944,0,4.11,981.47,0.944,"2500ms","Younger","Colour"
"202",10,0.972,1,0.056,9.53,1373.86,0.944,"2500ms","Older","Colour"
"203",11,0.778,1,0.445,10.22,1185.53,0.555,"2500ms","Older","Colour"
"204",12,1,1,0,6.83,1329.31,1,"2500ms","Older","Colour"
"205",13,0.972,1,0.056,8.06,805.64,0.944,"2500ms","Younger","Colour"
"206",14,0.972,0.944,0,7.86,948.94,0.944,"2500ms","Younger","Colour"
"207",15,1,1,0,7.11,709.25,1,"2500ms","Younger","Colour"
"208",16,0.972,1,0.056,6.14,1506.72,0.944,"2500ms","Older","Colour"
"209",17,1,1,0,7.39,918.22,1,"2500ms","Younger","Colour"
"210",18,0.778,1,0.445,7.94,1037.89,0.555,"2500ms","Older","Colour"
"211",19,0.889,1,0.222,4.28,1247.47,0.778,"2500ms","Younger","Colour"
"212",20,1,1,0,5,704.25,1,"2500ms","Younger","Colour"
"213",21,1,1,0,7.08,1339.64,1,"2500ms","Older","Colour"
"214",22,0.944,0.944,0.056,5.83,966.97,0.888,"2500ms","Younger","Colour"
"215",23,1,1,0,10.92,782.69,1,"2500ms","Younger","Colour"
"216",24,0.972,0.944,0,7.5,669.56,0.944,"2500ms","Younger","Colour"
"217",25,1,1,0,7.03,667.5,1,"2500ms","Younger","Colour"
"218",26,0.972,1,0.056,6.14,831.89,0.944,"2500ms","Younger","Colour"
"219",27,0.972,0.944,0,5,753.44,0.944,"2500ms","Younger","Colour"
"220",28,1,1,0,7,836.19,1,"2500ms","Younger","Colour"
"221",29,0.944,0.944,0.056,6.92,839.69,0.888,"2500ms","Younger","Colour"
"222",30,1,1,0,10.47,1543.22,1,"2500ms","Younger","Colour"
"223",31,0.972,0.944,0,5.61,1318.78,0.944,"2500ms","Older","Colour"
"224",32,0.611,0.556,0.333,8.08,1614.83,0.223,"2500ms","Younger","Colour"
"225",33,1,1,0,5.03,779.83,1,"2500ms","Younger","Colour"
"226",34,1,1,0,7.03,1423.22,1,"2500ms","Younger","Colour"
"227",35,1,1,0,6.03,1229.56,1,"2500ms","Younger","Colour"
"228",36,0.944,1,0.111,6.58,1341.31,0.889,"2500ms","Older","Colour"
"229",37,0.944,1,0.111,8.31,1641.53,0.889,"2500ms","Older","Colour"
"230",38,1,1,0,9.72,1133.67,1,"2500ms","Older","Colour"
"231",39,0.917,1,0.167,6.92,1578,0.833,"2500ms","Older","Colour"
"232",40,0.75,0.667,0.167,4,981.92,0.5,"2500ms","Older","Colour"
"233",41,1,1,0,5.36,1059.22,1,"2500ms","Older","Colour"
"234",42,0.806,0.944,0.333,9.72,1330.86,0.611,"2500ms","Older","Colour"
"235",43,0.917,0.944,0.111,6.33,925.08,0.833,"2500ms","Older","Colour"
"236",44,0.917,1,0.167,6.47,1145.69,0.833,"2500ms","Older","Colour"
"237",45,1,1,0,8.39,1175.61,1,"2500ms","Older","Colour"
"238",46,1,1,0,5.14,1250.28,1,"2500ms","Older","Colour"
"239",47,0.917,1,0.167,6.61,1112.58,0.833,"2500ms","Older","Colour"
"240",48,0.917,1,0.167,8.42,1194.36,0.833,"2500ms","Older","Colour"
"241",1,0.861,0.722,0,8.06,2234.56,0.722,"2500ms","Older","Binding"
"242",2,0.806,0.778,0.167,6.53,1327.75,0.611,"2500ms","Younger","Binding"
"243",3,0.944,0.889,0,10.25,786.94,0.889,"2500ms","Younger","Binding"
"244",4,0.917,0.889,0.056,9.72,1511.03,0.833,"2500ms","Younger","Binding"
"245",5,0.833,0.889,0.222,9.72,1753.61,0.667,"2500ms","Older","Binding"
"246",6,0.722,0.722,0.278,4.5,1878.47,0.444,"2500ms","Older","Binding"
"247",7,0.694,0.556,0.167,6.19,1451.25,0.389,"2500ms","Older","Binding"
"248",8,0.833,0.722,0.056,7.03,1074.36,0.666,"2500ms","Younger","Binding"
"249",9,0.833,0.944,0.278,4.47,1619.08,0.666,"2500ms","Younger","Binding"
"250",10,0.75,0.667,0.167,9.47,2619.89,0.5,"2500ms","Older","Binding"
"251",11,0.611,0.5,0.278,10.5,1389.22,0.222,"2500ms","Older","Binding"
"252",12,0.667,0.667,0.333,4.92,1729.14,0.334,"2500ms","Older","Binding"
"253",13,0.806,0.944,0.333,7.5,929.39,0.611,"2500ms","Younger","Binding"
"254",14,0.75,0.833,0.333,7.06,1270.11,0.5,"2500ms","Younger","Binding"
"255",15,0.861,0.833,0.111,7.14,832.97,0.722,"2500ms","Younger","Binding"
"256",16,0.667,0.444,0.111,4.72,2019.11,0.333,"2500ms","Older","Binding"
"257",17,0.833,0.778,0.111,7.86,910,0.667,"2500ms","Younger","Binding"
"258",18,0.722,0.667,0.222,9,1699.69,0.445,"2500ms","Older","Binding"
"259",19,0.5,0.278,0.278,4.97,1553.61,0,"2500ms","Younger","Binding"
"260",20,0.944,0.889,0,5,1065.97,0.889,"2500ms","Younger","Binding"
"261",21,0.722,0.667,0.222,7.25,2063.78,0.445,"2500ms","Older","Binding"
"262",22,0.889,0.778,0,5.81,1351.28,0.778,"2500ms","Younger","Binding"
"263",23,0.75,0.611,0.111,11.86,1308.83,0.5,"2500ms","Younger","Binding"
"264",24,0.917,0.889,0.056,7.44,730.61,0.833,"2500ms","Younger","Binding"
"265",25,0.944,0.889,0,7,868.28,0.889,"2500ms","Younger","Binding"
"266",26,0.778,0.833,0.278,5.97,939.44,0.555,"2500ms","Younger","Binding"
"267",27,0.722,0.556,0.111,5,969.61,0.445,"2500ms","Younger","Binding"
"268",28,0.778,0.661,0.056,6.69,1033.83,0.605,"2500ms","Younger","Binding"
"269",29,0.944,0.889,0,6.5,1071.56,0.889,"2500ms","Younger","Binding"
"270",30,0.917,0.889,0.056,10.39,2091.36,0.833,"2500ms","Younger","Binding"
"271",31,0.889,1,0.222,5.67,2148.58,0.778,"2500ms","Older","Binding"
"272",32,0.528,0.611,0.556,9.75,1534.97,0.0549999999999999,"2500ms","Younger","Binding"
"273",33,0.861,0.722,0,5,928.06,0.722,"2500ms","Younger","Binding"
"274",34,0.806,0.667,0.056,7.03,1483.03,0.611,"2500ms","Younger","Binding"
"275",35,0.75,0.556,0.056,5.44,2044.78,0.5,"2500ms","Younger","Binding"
"276",36,0.806,0.667,0.056,6.61,1639.67,0.611,"2500ms","Older","Binding"
"277",37,0.778,0.944,0.389,8.33,2665.69,0.555,"2500ms","Older","Binding"
"278",38,0.778,0.833,0.278,9.75,1511.28,0.555,"2500ms","Older","Binding"
"279",39,0.75,0.778,0.278,6.75,1712.67,0.5,"2500ms","Older","Binding"
"280",40,0.528,0.222,0.167,3.97,1309.75,0.055,"2500ms","Older","Binding"
"281",41,0.806,0.722,0.111,5.31,1860.11,0.611,"2500ms","Older","Binding"
"282",42,0.639,0.556,0.278,9.22,1579.83,0.278,"2500ms","Older","Binding"
"283",43,0.694,0.556,0.167,4.92,1773.92,0.389,"2500ms","Older","Binding"
"284",44,0.667,0.667,0.333,7.14,1562.58,0.334,"2500ms","Older","Binding"
"285",45,0.694,0.611,0.222,8.39,1861.61,0.389,"2500ms","Older","Binding"
"286",46,0.639,0.722,0.444,6.19,1646.25,0.278,"2500ms","Older","Binding"
"287",47,0.778,0.778,0.222,7.17,1281.11,0.556,"2500ms","Older","Binding"
"288",48,0.667,0.556,0.222,8.42,1495.39,0.334,"2500ms","Older","Binding"
